source_id,license_name,license_class,redistribution_allowed,shipping_allowed,attribution_required,license_url,review_notes
zollikofer-1994-body-morphology,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
zollikofer-1994-load,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wahl-2015-cataglyphis-walk-run,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
seidl-wehner-2008-inclines,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
pfeffer-2019-silver-ant-speed,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
clifton-2020-uneven-substrates,CC BY 4.0,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
clifton-2020-vision,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
gravish-2013-confined-locomotion,arXiv access; underlying article rights not treated as app-shippable,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
endlein-federle-2015-climbing,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
draft-2018-antenna-tracking,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
perna-2012-argentine-trail-rules,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
czaczkes-2016-route-learning,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wolf-2024-tortuosity,CC BY 4.0 reported for author-distributed version,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
gordon-2020-encounter-rate,CC BY-NC-ND 4.0,REDISTRIBUTABLE_RESEARCH_ONLY,true,false,true,https://creativecommons.org/licenses/by-nc-nd/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
john-2009-ant-traffic,APS copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wu-2022-ant-colony-trajectories,Dataset/article redistribution license not verified,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
gal-2020-antrax-paper,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
antrax-zenodo-3740547,Exact dataset license not verified in this pass,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
antgait-dryad-g79cnp5tq,Exact Dryad item license not reverified in this pass,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
hita-garcia-2017-terataner-microct,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
dryad-terataner-sk6s0,Exact Dryad item license not reverified in this pass,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
apple-nsscreen-backing-scale,Apple documentation terms,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
microsoft-per-monitor-dpi,Microsoft documentation terms,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
crosscombe-2026-ant-dwell-time,MDPI open-access article; exact CC version to retain with source,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://creativecommons.org/licenses/by/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wildflowersbloom-colony-development,MIT for repository code; sample data terms require separate confirmation,REDISTRIBUTABLE_RESEARCH_ONLY,true,false,true,https://github.com/wildflowersbloom/colony-development/blob/main/LICENSE,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
toohuman-ant-dwell-time-repo,MIT,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://github.com/toohuman/ant-dwell-time/blob/main/LICENSE,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
ufifas-argentine-ant,UF/IFAS publication terms not verified for redistribution,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
